year,percentile_90,extent
2001,1195.1287,910750000.0
2002,1075.6787,628000000.0
2003,1063.6018,639750000.0
2004,1058.9395,455500000.0
2005,1070.7944,632500000.0
2006,1008.0503,394000000.0
2007,1027.0605,470000000.0
2008,1117.0726,879500000.0
2009,1086.4838,751000000.0
2010,1071.0437,652000000.0
2011,1070.5686,713250000.0
2012,1192.6895,1112000000.0
2013,995.63025,309000000.0
2014,1103.4138,754000000.0
2015,1133.7415,934250000.0
2016,1163.8074,877000000.0
2017,1077.2251,589000000.0
2018,1082.2136,635750000.0
2019,1174.9285,1107250000.0
2020,1123.1528,826250000.0
2021,1133.5935,839250000.0
2022,1149.3989,965750000.0
2023,1163.7893,1065750000.0
2024,1091.7904,722500000.0
2025,1005.957,425000000.0
