year,percentile_90,extent
2001,906.12537,2711750000.0
2002,967.3791,2975750000.0
2003,892.0408,2602000000.0
2004,805.8029,2147500000.0
2005,903.4962,2690500000.0
2006,804.7269,1469500000.0
2007,861.32306,2249000000.0
2008,984.5721,3858750000.0
2009,845.9911,2240250000.0
2010,881.5103,2601250000.0
2011,877.9225,2623000000.0
2012,960.8507,3256000000.0
2013,782.9388,2148000000.0
2014,891.98553,2690500000.0
2015,902.52026,2624250000.0
2016,951.13403,3073000000.0
2017,889.5526,2746250000.0
2018,645.65594,709500000.0
2019,964.78314,3286250000.0
2020,967.1083,3403500000.0
2021,894.76105,2784750000.0
2022,827.99945,2153000000.0
2023,1045.8137,4063750000.0
2024,864.42224,2736750000.0
2025,741.83514,1647500000.0
