year,percentile_90,extent
2001,1449.514,176500000.0
2002,1422.7998,184250000.0
2003,1459.1207,141250000.0
2004,1452.4381,153500000.0
2005,1421.8647,183750000.0
2006,1421.6777,171500000.0
2007,1409.3386,216000000.0
2008,1451.5786,159250000.0
2009,1444.7946,160500000.0
2010,1424.4384,188000000.0
2011,1434.3186,173000000.0
2012,1410.3098,221250000.0
2013,1448.1732,169000000.0
2014,1424.4207,208750000.0
2015,1471.0901,146000000.0
2016,1426.5133,196000000.0
2017,1458.348,145750000.0
2018,1450.4329,155250000.0
2019,1453.8545,170000000.0
2020,1454.748,146750000.0
2021,1445.9136,172750000.0
2022,1458.5746,143000000.0
2023,1443.6763,173250000.0
2024,1444.4352,153500000.0
2025,1423.211,185000000.0
