year,percentile_90,extent
2001,646.98444,1124250000.0
2002,821.23236,1380250000.0
2003,816.2087,1473500000.0
2004,667.63324,1273000000.0
2005,837.2251,1632500000.0
2006,566.49786,808500000.0
2007,691.52814,1233500000.0
2008,873.04,1989500000.0
2009,801.5708,1366000000.0
2010,819.2041,1546750000.0
2011,766.9262,1520250000.0
2012,1042.5776,2259750000.0
2013,655.2748,1243000000.0
2014,824.07336,1602500000.0
2015,833.0677,1282500000.0
2016,953.103,2084250000.0
2017,715.38983,1490000000.0
2018,433.60663,497250000.0
2019,954.3411,1914750000.0
2020,956.4544,2148000000.0
2021,770.8733,1663250000.0
2022,812.66486,1240000000.0
2023,1005.2408,2471750000.0
2024,760.8422,1532250000.0
2025,699.02386,1149750000.0
