year,percentile_90,extent
2001,1020.56274,130250000.0
2002,889.83826,104000000.0
2003,849.62524,94750000.0
2004,1021.65894,151250000.0
2005,1056.4598,172750000.0
2006,1049.6761,160000000.0
2007,1080.2281,200000000.0
2008,1038.5364,151750000.0
2009,1062.0881,171250000.0
2010,1078.3347,191500000.0
2011,1083.2457,218000000.0
2012,1167.8701,265250000.0
2013,1062.4924,174000000.0
2014,1079.8153,217750000.0
2015,850.1552,91500000.0
2016,1087.2397,209000000.0
2017,1036.2083,142750000.0
2018,1063.8242,172000000.0
2019,1091.1616,192250000.0
2020,1039.4501,123000000.0
2021,1081.8225,198750000.0
2022,1052.7109,181500000.0
2023,1097.774,221000000.0
2024,1039.399,148250000.0
2025,1063.8307,164000000.0
