year,percentile_90,extent
2001,541.83234,21250000.0
2002,628.234,31500000.0
2003,689.55255,28000000.0
2004,540.7481,26500000.0
2005,560.9032,37250000.0
2006,523.006,30750000.0
2007,564.69385,37750000.0
2008,542.32135,31250000.0
2009,515.7564,25250000.0
2010,659.7647,54500000.0
2011,614.6736,49250000.0
2012,630.97266,54000000.0
2013,522.8242,19000000.0
2014,539.9449,27250000.0
2015,514.013,23000000.0
2016,539.9449,29750000.0
2017,522.70306,27000000.0
2018,541.687,27750000.0
2019,516.1402,27250000.0
2020,515.7564,27750000.0
2021,497.52692,26750000.0
2022,523.3195,30000000.0
2023,549.3274,36250000.0
2024,602.988,28250000.0
2025,471.19556,21250000.0
