year,percentile_90,extent
2001,570.6898,204000000.0
2002,438.87613,137750000.0
2003,539.25867,191250000.0
2004,513.5417,183000000.0
2005,394.12662,111000000.0
2006,483.43884,168500000.0
2007,576.1624,209250000.0
2008,603.44666,231250000.0
2009,611.0438,236500000.0
2010,588.6857,217750000.0
2011,605.2902,231750000.0
2012,649.57117,257500000.0
2013,391.99405,108000000.0
2014,563.92365,199000000.0
2015,626.08765,246000000.0
2016,491.38364,169250000.0
2017,504.95056,171500000.0
2018,421.5461,108250000.0
2019,624.94995,246000000.0
2020,475.32562,149000000.0
2021,492.6894,165750000.0
2022,511.1865,175250000.0
2023,506.52533,177750000.0
2024,448.3352,119000000.0
2025,382.87842,84500000.0
