year,percentile_90,extent
2001,603.67523,246750000.0
2002,517.1599,164000000.0
2003,606.82935,253000000.0
2004,602.9698,229000000.0
2005,556.68463,174500000.0
2006,608.53894,249000000.0
2007,628.7925,273250000.0
2008,658.92114,288000000.0
2009,666.1504,290750000.0
2010,660.24207,287250000.0
2011,672.3733,291250000.0
2012,761.74023,336750000.0
2013,515.75903,119250000.0
2014,634.83704,262000000.0
2015,752.2118,330000000.0
2016,600.10864,221750000.0
2017,585.6436,214250000.0
2018,542.0052,146750000.0
2019,722.0271,320000000.0
2020,573.47473,180000000.0
2021,590.2652,219000000.0
2022,589.4068,197500000.0
2023,606.8504,222750000.0
2024,599.84924,148000000.0
2025,506.24042,110000000.0
