year,percentile_90,extent
2001,1324.4309,4331500000.0
2002,1303.3306,4211000000.0
2003,1378.0612,4694500000.0
2004,1409.9526,4851000000.0
2005,1357.7415,4554500000.0
2006,1280.9832,4084750000.0
2007,1467.4879,5254250000.0
2008,1317.3728,4291250000.0
2009,1300.5685,4200750000.0
2010,1437.9165,4991750000.0
2011,1467.5812,5260500000.0
2012,1590.9497,6054750000.0
2013,1407.9458,4847750000.0
2014,1454.891,5148000000.0
2015,1351.4575,4500250000.0
2016,1460.4387,5205000000.0
2017,1319.761,4307000000.0
2018,1345.7014,4461000000.0
2019,1467.6649,5258750000.0
2020,1307.685,4233000000.0
2021,1374.9442,4675750000.0
2022,1354.1444,4526750000.0
2023,1452.4307,5100000000.0
2024,1257.1714,3933750000.0
2025,1411.266,4857500000.0
