year,percentile_90,extent
2001,2103.8975,507500000.0
2002,2115.3103,553500000.0
2003,2114.867,566500000.0
2004,2115.2935,589250000.0
2005,2111.0916,612750000.0
2006,2107.7766,564750000.0
2007,2115.1902,658000000.0
2008,2103.747,520250000.0
2009,2105.362,459750000.0
2010,2113.9463,568750000.0
2011,2109.3967,595750000.0
2012,2111.0916,655250000.0
2013,2108.2056,599250000.0
2014,2102.1538,486500000.0
2015,2108.4082,511500000.0
2016,2115.2935,661750000.0
2017,2107.5862,442500000.0
2018,2103.0718,425250000.0
2019,2113.1147,567000000.0
2020,2096.7722,467000000.0
2021,2105.843,522500000.0
2022,2096.1812,471000000.0
2023,2096.8445,504250000.0
2024,2112.3826,465750000.0
2025,2102.8206,532000000.0
