year,percentile_90,extent
2001,1772.4445,275250000.0
2002,1732.4642,272500000.0
2003,1772.1985,206500000.0
2004,1704.4124,263750000.0
2005,1773.3755,297750000.0
2006,1679.8202,279750000.0
2007,1771.554,293000000.0
2008,1722.3381,256750000.0
2009,1729.9792,276500000.0
2010,1786.454,294500000.0
2011,1814.8688,299250000.0
2012,1827.0256,307000000.0
2013,1706.466,270250000.0
2014,1754.7373,291750000.0
2015,1822.1013,224000000.0
2016,1808.219,290750000.0
2017,1759.8516,231750000.0
2018,1726.5543,266250000.0
2019,1815.7875,301250000.0
2020,1676.2079,271500000.0
2021,1720.5162,281750000.0
2022,1696.1273,271000000.0
2023,1767.5504,285500000.0
2024,1764.1879,281750000.0
2025,1810.6157,297250000.0
