year,percentile_90,extent
2001,954.70557,329750000.0
2002,981.99854,367000000.0
2003,966.232,338000000.0
2004,943.2711,292250000.0
2005,923.63135,289500000.0
2006,933.1174,267500000.0
2007,857.78827,206000000.0
2008,1059.5544,455000000.0
2009,970.3823,354500000.0
2010,944.5845,315500000.0
2011,941.64905,321750000.0
2012,1062.016,475000000.0
2013,826.8075,159000000.0
2014,989.0939,367750000.0
2015,1065.1,514750000.0
2016,1043.1207,452250000.0
2017,967.6052,336500000.0
2018,1046.591,426500000.0
2019,1079.1356,515000000.0
2020,1031.7621,416750000.0
2021,987.88995,354750000.0
2022,1046.4606,439000000.0
2023,1164.7437,639750000.0
2024,1014.08636,384500000.0
2025,935.5976,280500000.0
