year,percentile_90,extent
2001,953.3147,535750000.0
2002,993.8762,595500000.0
2003,1057.8412,649250000.0
2004,1036.0876,622000000.0
2005,1127.8307,704500000.0
2006,1063.2405,655500000.0
2007,1146.8489,767000000.0
2008,1117.3547,731000000.0
2009,1092.6229,697750000.0
2010,1191.5741,849500000.0
2011,1211.4669,866000000.0
2012,1334.3142,985500000.0
2013,975.88385,583500000.0
2014,1205.9674,860000000.0
2015,1228.0167,888500000.0
2016,1157.0948,777000000.0
2017,1014.86584,608750000.0
2018,931.11993,526750000.0
2019,1158.6539,786750000.0
2020,1063.181,649250000.0
2021,1072.6674,672750000.0
2022,953.0752,551250000.0
2023,1133.7554,641750000.0
2024,965.5418,569000000.0
2025,982.8452,543250000.0
