year,percentile_90,extent
2001,396.31274,19250000.0
2002,348.8719,11500000.0
2003,340.70755,14000000.0
2004,333.87817,12250000.0
2005,347.53687,13250000.0
2006,352.4843,14750000.0
2007,371.636,17000000.0
2008,367.8949,18250000.0
2009,416.19003,19500000.0
2010,416.19003,19500000.0
2011,416.19003,19500000.0
2012,416.19003,19500000.0
2013,440.6563,6000000.0
2014,344.52197,15000000.0
2015,396.31274,19250000.0
2016,406.11578,18500000.0
2017,356.50424,15000000.0
2018,331.60175,10000000.0
2019,370.65836,17250000.0
2020,356.9907,17250000.0
2021,330.7609,15000000.0
2022,372.6136,16750000.0
2023,353.07617,14000000.0
2024,315.45544,10500000.0
2025,308.56677,11000000.0
