year,percentile_90,extent
2001,942.29675,179500000.0
2002,1000.1438,241500000.0
2003,951.20105,274250000.0
2004,928.4961,152250000.0
2005,945.3904,230000000.0
2006,925.11,100000000.0
2007,824.9095,73500000.0
2008,1153.7455,498500000.0
2009,981.106,266750000.0
2010,925.6859,204750000.0
2011,911.91797,197750000.0
2012,1101.9331,416250000.0
2013,795.3567,48750000.0
2014,1037.4536,341500000.0
2015,1074.9309,418000000.0
2016,1016.7574,318750000.0
2017,925.68604,234250000.0
2018,1029.1904,329000000.0
2019,1037.3547,444750000.0
2020,958.4435,244250000.0
2021,986.1751,252250000.0
2022,1054.6428,306000000.0
2023,1162.563,535750000.0
2024,953.51447,141500000.0
2025,885.46436,114000000.0
