year,percentile_90,extent
2001,2154.677,99250000.0
2002,2157.551,110000000.0
2003,2154.677,109250000.0
2004,2154.5276,117250000.0
2005,2157.184,119250000.0
2006,2150.227,109750000.0
2007,2154.5276,139750000.0
2008,2123.781,107250000.0
2009,2154.229,92500000.0
2010,2155.4236,118000000.0
2011,2156.13,119250000.0
2012,2148.841,130000000.0
2013,2154.5276,114500000.0
2014,2151.6719,94000000.0
2015,2154.5276,102000000.0
2016,2161.9465,127500000.0
2017,2154.0796,87750000.0
2018,2163.0796,84250000.0
2019,2157.1294,114500000.0
2020,2112.664,92000000.0
2021,2140.674,107250000.0
2022,2123.5989,93000000.0
2023,2141.825,96750000.0
2024,2113.9485,85000000.0
2025,2128.8936,99000000.0
