year,percentile_90,extent
2001,728.6942,977000000.0
2002,645.839,853000000.0
2003,733.80664,981000000.0
2004,776.80005,963500000.0
2005,626.901,922750000.0
2006,560.349,800250000.0
2007,528.001,777250000.0
2008,874.2208,1429750000.0
2009,666.46313,1036500000.0
2010,651.9024,1050750000.0
2011,686.6586,1126750000.0
2012,1040.0907,1513000000.0
2013,422.64252,527500000.0
2014,805.5038,1120750000.0
2015,942.5817,1707250000.0
2016,667.08734,1080250000.0
2017,564.44904,787250000.0
2018,558.36633,818250000.0
2019,845.2241,1351750000.0
2020,715.8556,1236250000.0
2021,772.1245,961750000.0
2022,1021.637,1318500000.0
2023,1083.2004,1557000000.0
2024,804.17505,1321750000.0
2025,743.86957,797000000.0
