year,percentile_90,extent
2001,981.20386,387500000.0
2002,882.77374,317500000.0
2003,988.64294,420750000.0
2004,811.6974,353000000.0
2005,853.5516,394750000.0
2006,894.8268,226000000.0
2007,881.5268,323000000.0
2008,859.5847,482250000.0
2009,834.4202,437500000.0
2010,825.7573,408750000.0
2011,875.26013,534500000.0
2012,1063.1776,669750000.0
2013,922.3561,180500000.0
2014,992.5481,389000000.0
2015,874.0438,551500000.0
2016,905.928,439750000.0
2017,982.76715,274500000.0
2018,887.1958,300000000.0
2019,1032.4197,513500000.0
2020,896.7654,560500000.0
2021,880.6949,353750000.0
2022,870.6794,378750000.0
2023,903.5906,521500000.0
2024,859.3422,392500000.0
2025,992.5573,236250000.0
