year,percentile_90,extent
2001,564.16583,115250000.0
2002,428.75812,73250000.0
2003,529.3799,106500000.0
2004,472.30933,96500000.0
2005,544.1364,95500000.0
2006,531.93634,103250000.0
2007,589.00684,129000000.0
2008,576.46875,132000000.0
2009,596.1821,140750000.0
2010,598.8841,141750000.0
2011,605.9068,145000000.0
2012,618.1903,146250000.0
2013,411.75433,67500000.0
2014,563.4068,116500000.0
2015,621.90656,147750000.0
2016,642.31976,149000000.0
2017,478.0681,102500000.0
2018,602.1725,91000000.0
2019,706.2482,161250000.0
2020,658.9093,146250000.0
2021,554.06146,112500000.0
2022,647.9701,146000000.0
2023,574.1059,107000000.0
2024,551.0074,100250000.0
2025,485.62335,89750000.0
