year,percentile_90,extent
2001,1785.3092,480250000.0
2002,1651.9834,665250000.0
2003,1784.3354,337250000.0
2004,1758.0354,409250000.0
2005,1645.6753,615250000.0
2006,1651.3752,556500000.0
2007,1618.8687,712500000.0
2008,1767.9163,363250000.0
2009,1719.4768,448500000.0
2010,1734.8541,598000000.0
2011,1696.2107,575750000.0
2012,1789.377,578250000.0
2013,1793.1191,324250000.0
2014,1742.6566,530750000.0
2015,1820.7028,332500000.0
2016,1801.2269,489750000.0
2017,1792.9266,352250000.0
2018,1790.904,364250000.0
2019,1711.3984,567750000.0
2020,1628.9314,497250000.0
2021,1640.8104,555500000.0
2022,1673.8988,468750000.0
2023,1726.0741,514750000.0
2024,1666.4584,502750000.0
2025,1637.7306,573250000.0
