year,percentile_90,extent
2001,910.4313,115500000.0
2002,918.4907,100000000.0
2003,1016.6534,67250000.0
2004,918.68024,119750000.0
2005,878.19183,134250000.0
2006,974.5753,130000000.0
2007,910.22614,124500000.0
2008,1071.6296,146500000.0
2009,883.18835,110500000.0
2010,951.2603,171500000.0
2011,882.6464,135750000.0
2012,1049.4022,213250000.0
2013,914.3834,101500000.0
2014,950.06964,106000000.0
2015,954.5427,108250000.0
2016,974.5753,105000000.0
2017,925.0469,115000000.0
2018,919.817,100750000.0
2019,992.8947,90250000.0
2020,999.7582,112000000.0
2021,954.29706,121000000.0
2022,945.1862,115500000.0
2023,994.975,203000000.0
2024,910.5545,111250000.0
2025,929.8047,119250000.0
