year,percentile_90,extent
2001,898.12897,77500000.0
2002,837.2929,70250000.0
2003,918.42053,61750000.0
2004,822.05853,112000000.0
2005,781.4601,119500000.0
2006,834.0569,108500000.0
2007,841.30597,105750000.0
2008,837.1634,136000000.0
2009,826.1099,81250000.0
2010,796.50507,187000000.0
2011,801.0956,134250000.0
2012,837.086,189250000.0
2013,816.7691,88000000.0
2014,837.26685,81500000.0
2015,850.3949,101250000.0
2016,869.6045,82750000.0
2017,845.7587,100000000.0
2018,906.64325,74750000.0
2019,840.27325,67500000.0
2020,844.0275,95000000.0
2021,827.4982,98500000.0
2022,860.26184,99500000.0
2023,856.9222,170500000.0
2024,817.92554,90500000.0
2025,825.85266,128250000.0
