year,percentile_90,extent
2001,1443.7599,581250000.0
2002,1390.4618,481500000.0
2003,1513.6733,663250000.0
2004,1488.586,567750000.0
2005,1344.6637,430250000.0
2006,1411.8157,499250000.0
2007,1496.0394,639500000.0
2008,1525.41,677500000.0
2009,1419.8577,528750000.0
2010,1566.6227,778750000.0
2011,1539.7341,667250000.0
2012,1650.5125,808250000.0
2013,1387.5725,483500000.0
2014,1568.0868,643500000.0
2015,1435.7294,450250000.0
2016,1593.1389,735500000.0
2017,1499.3018,627750000.0
2018,1447.1509,529500000.0
2019,1623.4011,709750000.0
2020,1587.4677,633750000.0
2021,1547.22,691500000.0
2022,1452.3933,498750000.0
2023,1705.0624,868750000.0
2024,1438.9762,579250000.0
2025,1585.0273,722000000.0
