year,percentile_90,extent
2001,1260.0426,91250000.0
2002,1206.262,80000000.0
2003,1300.2837,110750000.0
2004,1251.3391,80000000.0
2005,1151.2354,53500000.0
2006,1239.9962,83750000.0
2007,1312.5782,110250000.0
2008,1309.1552,115000000.0
2009,1266.5752,89750000.0
2010,1365.2783,131000000.0
2011,1306.8728,114750000.0
2012,1383.1992,136750000.0
2013,1249.479,91250000.0
2014,1306.0532,109750000.0
2015,1181.3595,51500000.0
2016,1314.2316,116000000.0
2017,1272.6475,92250000.0
2018,1272.6475,97250000.0
2019,1315.2389,116500000.0
2020,1293.4479,100000000.0
2021,1306.2798,105000000.0
2022,1250.0768,88500000.0
2023,1383.6953,136250000.0
2024,1305.1064,114000000.0
2025,1374.2162,130750000.0
