year,percentile_90,extent
2001,970.6228,167500000.0
2002,862.2408,113500000.0
2003,987.80646,174250000.0
2004,862.2408,113500000.0
2005,716.25415,83500000.0
2006,791.73364,98750000.0
2007,971.81226,168000000.0
2008,998.8737,177250000.0
2009,868.3705,114250000.0
2010,1070.6431,194250000.0
2011,1017.5144,182250000.0
2012,1089.4694,197750000.0
2013,965.1851,165750000.0
2014,1010.5759,180500000.0
2015,752.6872,90500000.0
2016,1000.19275,178250000.0
2017,972.74445,168750000.0
2018,968.14954,167000000.0
2019,1012.6447,181250000.0
2020,986.2827,173000000.0
2021,973.7907,169250000.0
2022,965.5586,164000000.0
2023,1148.5055,219000000.0
2024,1021.8044,183500000.0
2025,1052.0013,190000000.0
