year,percentile_90,extent
2001,900.7714,351250000.0
2002,952.3294,373750000.0
2003,973.2825,393500000.0
2004,952.6224,374500000.0
2005,997.4371,408750000.0
2006,990.8263,405000000.0
2007,1083.4209,474750000.0
2008,1048.7251,446750000.0
2009,1046.399,443500000.0
2010,1108.9629,502250000.0
2011,1108.244,499000000.0
2012,1200.8159,546000000.0
2013,951.3657,372250000.0
2014,1104.0189,497500000.0
2015,1130.8369,505750000.0
2016,1055.0487,449250000.0
2017,926.5113,358250000.0
2018,883.0174,347250000.0
2019,1053.9989,449250000.0
2020,959.8607,380750000.0
2021,956.0719,378750000.0
2022,844.5731,332750000.0
2023,972.13556,381000000.0
2024,886.5628,348000000.0
2025,818.99634,318750000.0
