year,percentile_90,extent
2001,1647.5898,378000000.0
2002,1648.1367,387250000.0
2003,1668.5967,360750000.0
2004,1670.5847,394500000.0
2005,1647.1505,418000000.0
2006,1644.2421,408500000.0
2007,1666.9753,423750000.0
2008,1666.849,437000000.0
2009,1667.8627,412250000.0
2010,1669.8876,460750000.0
2011,1647.8925,398750000.0
2012,1696.5415,549250000.0
2013,1658.6985,394250000.0
2014,1678.972,435500000.0
2015,1668.112,394000000.0
2016,1672.1508,422000000.0
2017,1650.9713,415750000.0
2018,1632.8816,389000000.0
2019,1666.5548,385250000.0
2020,1682.2892,406750000.0
2021,1641.0795,430750000.0
2022,1679.2904,392000000.0
2023,1718.1016,527750000.0
2024,1670.6488,374000000.0
2025,1657.5419,401000000.0
