year,percentile_90,extent
2001,489.57162,50750000.0
2002,417.6928,38000000.0
2003,511.6429,57000000.0
2004,458.9369,42500000.0
2005,460.8428,41000000.0
2006,498.6519,56250000.0
2007,528.16846,63000000.0
2008,574.3326,75250000.0
2009,585.7427,77000000.0
2010,584.4522,78500000.0
2011,564.0881,72250000.0
2012,652.8459,94000000.0
2013,442.49683,36500000.0
2014,562.8708,62000000.0
2015,641.7953,88250000.0
2016,494.46902,50000000.0
2017,501.69434,52500000.0
2018,456.2093,31750000.0
2019,602.4939,83750000.0
2020,487.11874,48250000.0
2021,468.77493,47500000.0
2022,531.21936,59000000.0
2023,521.6863,57000000.0
2024,482.21487,42750000.0
2025,422.0749,30250000.0
