year,percentile_90,extent
2001,1302.4493,682250000.0
2002,1295.04,703000000.0
2003,1388.0403,762500000.0
2004,1355.0188,806500000.0
2005,1371.187,833500000.0
2006,1406.9648,857000000.0
2007,1445.3046,1049750000.0
2008,1334.287,771250000.0
2009,1370.3262,817000000.0
2010,1470.2607,1083750000.0
2011,1451.2898,1105000000.0
2012,1599.8201,1458500000.0
2013,1394.9777,605750000.0
2014,1439.7285,969750000.0
2015,1431.1898,1009250000.0
2016,1442.2996,925250000.0
2017,1342.917,750250000.0
2018,1353.4115,750500000.0
2019,1454.4456,1082250000.0
2020,1339.6592,649750000.0
2021,1488.9988,1011500000.0
2022,1321.2882,658250000.0
2023,1464.3441,1032000000.0
2024,1350.5398,657750000.0
2025,1430.5958,961750000.0
