year,percentile_90,extent
2001,1838.7422,615250000.0
2002,1776.2424,639500000.0
2003,1830.6141,497750000.0
2004,1767.2733,630250000.0
2005,1720.9031,928500000.0
2006,1747.475,751500000.0
2007,1709.5621,932500000.0
2008,1766.0562,649250000.0
2009,1750.9932,657250000.0
2010,1722.8008,929000000.0
2011,1722.3304,801250000.0
2012,1748.1844,896250000.0
2013,1722.6826,772250000.0
2014,1713.0918,880750000.0
2015,1881.3179,528250000.0
2016,1732.0756,892750000.0
2017,1816.7369,572000000.0
2018,1739.6586,724750000.0
2019,1731.0286,894250000.0
2020,1681.5892,836250000.0
2021,1693.2275,843750000.0
2022,1725.8796,689500000.0
2023,1748.3726,698250000.0
2024,1701.8922,805250000.0
2025,1713.7074,784000000.0
