year,percentile_90,extent
2001,953.2091,766250000.0
2002,971.4618,895000000.0
2003,992.6003,1014750000.0
2004,920.6606,642750000.0
2005,923.5204,610500000.0
2006,951.0685,423750000.0
2007,788.08057,331750000.0
2008,1101.0082,1271250000.0
2009,945.1332,719250000.0
2010,899.9749,742250000.0
2011,895.0273,695750000.0
2012,1062.7172,1275000000.0
2013,867.83704,373500000.0
2014,982.16046,754500000.0
2015,1073.9102,1267500000.0
2016,1018.90076,1029750000.0
2017,882.4252,609000000.0
2018,1038.067,1009750000.0
2019,1077.4326,1445500000.0
2020,902.3088,693000000.0
2021,934.6461,832500000.0
2022,1104.2386,1148250000.0
2023,1134.3854,1558000000.0
2024,939.3302,675500000.0
2025,862.9404,450500000.0
