year,percentile_90,extent
2001,1487.1606,12592750000.0
2002,1344.877,8668250000.0
2003,1573.7699,15321000000.0
2004,1532.7283,12707000000.0
2005,1434.5969,9473250000.0
2006,1397.4922,9998500000.0
2007,1616.4135,17159250000.0
2008,1484.8661,12976750000.0
2009,1386.9448,9077750000.0
2010,1620.4258,17143250000.0
2011,1671.1033,18879500000.0
2012,1790.8949,22798000000.0
2013,1486.5962,12927750000.0
2014,1552.1234,15205500000.0
2015,1393.3646,7726500000.0
2016,1625.502,17385250000.0
2017,1410.3956,10521750000.0
2018,1455.0413,11806250000.0
2019,1627.548,17618750000.0
2020,1455.8766,12020750000.0
2021,1622.0834,16703000000.0
2022,1384.4257,8975250000.0
2023,1700.7739,18731250000.0
2024,1361.5436,8190500000.0
2025,1594.8125,16415500000.0
