year,percentile_90,extent
2001,1291.4177,2110000000.0
2002,1289.3612,2091750000.0
2003,1339.3973,2247750000.0
2004,1346.5532,2258500000.0
2005,1308.1227,2193750000.0
2006,1283.8892,2036000000.0
2007,1438.8823,2413250000.0
2008,1290.1354,2102500000.0
2009,1289.742,2097500000.0
2010,1377.2542,2312000000.0
2011,1460.3511,2447750000.0
2012,1527.6672,2651250000.0
2013,1324.656,2225250000.0
2014,1393.7675,2332250000.0
2015,1300.0077,2164500000.0
2016,1415.3281,2372750000.0
2017,1291.2213,2109000000.0
2018,1299.7421,2162000000.0
2019,1455.7552,2440750000.0
2020,1283.662,2041750000.0
2021,1334.4868,2239500000.0
2022,1295.3721,2138000000.0
2023,1453.986,2436750000.0
2024,1283.899,2036000000.0
2025,1342.0193,2253000000.0
