year,percentile_90,extent
2001,666.9613,240250000.0
2002,584.98706,117000000.0
2003,635.06793,235750000.0
2004,538.9387,160750000.0
2005,646.71,146000000.0
2006,598.7412,223500000.0
2007,660.274,283750000.0
2008,673.5014,303000000.0
2009,690.8367,317000000.0
2010,660.1159,287500000.0
2011,689.55206,318500000.0
2012,698.5255,321500000.0
2013,607.06116,114750000.0
2014,626.13495,257250000.0
2015,684.84485,314250000.0
2016,599.6612,234250000.0
2017,557.03046,215000000.0
2018,515.10535,106500000.0
2019,668.5799,298000000.0
2020,650.8244,176750000.0
2021,637.9411,215750000.0
2022,650.6938,264250000.0
2023,656.0396,230500000.0
2024,669.1599,139250000.0
2025,696.547,118250000.0
