year,percentile_90,extent
2001,539.86835,55000000.0
2002,517.0296,46250000.0
2003,538.7449,53750000.0
2004,525.31006,46000000.0
2005,540.17114,44250000.0
2006,540.77686,50250000.0
2007,539.86835,55000000.0
2008,539.86835,55000000.0
2009,539.86835,55000000.0
2010,539.86835,55000000.0
2011,539.86835,55000000.0
2012,539.86835,55000000.0
2013,539.88965,34000000.0
2014,540.2445,51000000.0
2015,539.86835,55000000.0
2016,539.15546,54750000.0
2017,528.07306,50250000.0
2018,535.12573,43500000.0
2019,539.86835,55000000.0
2020,540.0702,54500000.0
2021,538.3049,53750000.0
2022,539.23193,54500000.0
2023,537.9561,51750000.0
2024,536.2984,45500000.0
2025,523.9412,44500000.0
