year,percentile_90,extent
2001,448.71783,46250000.0
2002,493.63773,21250000.0
2003,464.45523,36750000.0
2004,415.58975,30750000.0
2005,495.18024,31000000.0
2006,356.54266,42750000.0
2007,466.5831,55500000.0
2008,454.31616,63250000.0
2009,481.80368,75750000.0
2010,460.0596,73500000.0
2011,539.9043,86750000.0
2012,481.7696,75000000.0
2013,482.60745,25500000.0
2014,390.44873,44500000.0
2015,507.0094,71500000.0
2016,424.80676,54750000.0
2017,374.2167,44500000.0
2018,475.50757,29000000.0
2019,499.57874,63000000.0
2020,418.93347,50250000.0
2021,498.21616,48750000.0
2022,420.5523,50250000.0
2023,615.5779,52250000.0
2024,416.54993,35000000.0
2025,593.05304,47250000.0
