year,percentile_90,extent
2001,589.891,75750000.0
2002,482.79938,38500000.0
2003,547.8191,63500000.0
2004,521.26025,48250000.0
2005,608.79944,55000000.0
2006,583.3179,68250000.0
2007,589.71234,85750000.0
2008,583.30554,89000000.0
2009,612.74963,105000000.0
2010,598.23285,95000000.0
2011,608.33636,113000000.0
2012,609.6291,108500000.0
2013,560.8838,41000000.0
2014,572.4242,75250000.0
2015,612.9863,105000000.0
2016,598.92505,94500000.0
2017,536.32825,63250000.0
2018,560.6341,49000000.0
2019,601.00195,90500000.0
2020,594.6111,68500000.0
2021,580.6189,63000000.0
2022,574.48517,80000000.0
2023,612.7335,70250000.0
2024,569.3829,56000000.0
2025,613.67096,55000000.0
