year,percentile_90,extent
2001,511.41293,116500000.0
2002,363.4311,43250000.0
2003,363.64542,70250000.0
2004,361.69727,58250000.0
2005,399.72015,46500000.0
2006,362.57382,72750000.0
2007,411.11768,103000000.0
2008,419.83865,115000000.0
2009,481.10623,132500000.0
2010,489.4859,136000000.0
2011,506.76764,141750000.0
2012,476.96558,130250000.0
2013,401.14737,30750000.0
2014,369.8887,80750000.0
2015,478.52716,132250000.0
2016,445.03384,122250000.0
2017,365.3983,78250000.0
2018,364.96008,43750000.0
2019,404.85425,106250000.0
2020,401.82626,101250000.0
2021,367.04718,82000000.0
2022,396.86963,103750000.0
2023,391.47205,81500000.0
2024,363.8645,65000000.0
2025,368.23602,56750000.0
