year,percentile_90,extent
2001,538.52496,138500000.0
2002,475.31287,67750000.0
2003,572.8799,131500000.0
2004,425.60785,83250000.0
2005,471.55106,55000000.0
2006,405.94714,88000000.0
2007,493.43243,144250000.0
2008,487.13803,162750000.0
2009,508.08328,250500000.0
2010,523.26483,275000000.0
2011,545.5303,330750000.0
2012,521.0397,237250000.0
2013,404.56656,62250000.0
2014,618.15234,132250000.0
2015,521.0085,259750000.0
2016,549.8592,252750000.0
2017,452.03238,113500000.0
2018,564.29895,94000000.0
2019,596.4237,262750000.0
2020,551.4384,169750000.0
2021,430.7794,111250000.0
2022,483.45084,168500000.0
2023,471.83392,121250000.0
2024,521.99493,98250000.0
2025,483.07776,75000000.0
