year,percentile_90,extent
2001,499.8627,82750000.0
2002,522.8169,54500000.0
2003,509.0574,69500000.0
2004,505.01407,57250000.0
2005,556.3344,42250000.0
2006,533.4094,55750000.0
2007,503.89392,81000000.0
2008,499.75858,83000000.0
2009,495.51703,92500000.0
2010,499.02982,102250000.0
2011,503.61862,104250000.0
2012,505.01404,87250000.0
2013,556.3344,37250000.0
2014,521.8475,60250000.0
2015,502.53528,87500000.0
2016,504.34686,90500000.0
2017,531.8297,52250000.0
2018,518.5419,56500000.0
2019,510.03806,92000000.0
2020,502.98813,74500000.0
2021,506.777,72750000.0
2022,495.11526,80500000.0
2023,524.0293,61750000.0
2024,561.2219,40750000.0
2025,561.7549,39750000.0
