year,percentile_90,extent
2001,1539.1162,3704250000.0
2002,1355.576,2945750000.0
2003,1616.2991,4244750000.0
2004,1527.941,3546500000.0
2005,1433.6294,3136250000.0
2006,1565.8477,3837500000.0
2007,1696.8169,4666250000.0
2008,1581.7842,4046750000.0
2009,1395.9037,3120750000.0
2010,1681.4604,4633250000.0
2011,1669.745,4549250000.0
2012,1861.0375,5570250000.0
2013,1456.4689,3343750000.0
2014,1643.704,4408500000.0
2015,1301.6365,2539250000.0
2016,1690.5164,4662750000.0
2017,1410.6829,3199750000.0
2018,1560.287,3774750000.0
2019,1643.1923,4458250000.0
2020,1641.1102,4353000000.0
2021,1703.4281,4618500000.0
2022,1587.9832,3965750000.0
2023,1948.2896,5594250000.0
2024,1345.4381,2910500000.0
2025,1621.0316,4319250000.0
