year,percentile_90,extent
2001,1050.0546,488750000.0
2002,1049.8477,492250000.0
2003,1154.2134,576000000.0
2004,1152.4866,573000000.0
2005,1152.793,572000000.0
2006,1005.93115,457500000.0
2007,1295.9106,649750000.0
2008,1173.3027,582750000.0
2009,1118.5029,548500000.0
2010,1234.4227,633750000.0
2011,1326.9475,671500000.0
2012,1343.5203,696000000.0
2013,1213.8628,611500000.0
2014,1221.4746,617250000.0
2015,1190.1329,590000000.0
2016,1295.4952,649500000.0
2017,1041.2927,476750000.0
2018,1039.192,470250000.0
2019,1237.7946,636750000.0
2020,1026.7867,471000000.0
2021,1122.4022,547000000.0
2022,1021.9618,464000000.0
2023,1204.8552,602750000.0
2024,995.78033,451750000.0
2025,1215.3417,612500000.0
