year,percentile_90,extent
2001,1064.7898,787250000.0
2002,1054.3402,773000000.0
2003,1161.3909,937750000.0
2004,1166.3539,938750000.0
2005,1157.3174,909000000.0
2006,1140.003,880000000.0
2007,1304.8889,1179500000.0
2008,1193.6959,979250000.0
2009,1138.3478,893250000.0
2010,1285.3004,1141000000.0
2011,1319.6277,1214250000.0
2012,1441.7926,1397000000.0
2013,1238.3857,1039000000.0
2014,1281.7542,1134500000.0
2015,1282.2195,1124000000.0
2016,1321.0854,1220250000.0
2017,1169.0052,934750000.0
2018,1126.6212,861750000.0
2019,1352.3479,1262500000.0
2020,1081.9985,794500000.0
2021,1225.7274,1010250000.0
2022,1157.6873,889000000.0
2023,1284.0265,1013500000.0
2024,1128.6284,859750000.0
2025,1283.8821,1087750000.0
