year,percentile_90,extent
2001,1195.6702,716500000.0
2002,1194.4998,683500000.0
2003,1247.0619,874750000.0
2004,1271.7961,917250000.0
2005,1262.0043,881750000.0
2006,1268.282,805250000.0
2007,1330.4253,1121250000.0
2008,1273.4952,970250000.0
2009,1241.8025,808250000.0
2010,1334.4966,1134500000.0
2011,1367.3672,1220750000.0
2012,1419.5123,1364000000.0
2013,1282.173,981000000.0
2014,1309.873,1048500000.0
2015,1317.3806,1064250000.0
2016,1362.8776,1201000000.0
2017,1257.0455,914250000.0
2018,1262.6571,861500000.0
2019,1381.649,1263750000.0
2020,1135.0138,619750000.0
2021,1285.4369,966250000.0
2022,1239.9232,779500000.0
2023,1317.6727,889500000.0
2024,1236.564,783500000.0
2025,1327.1313,1048000000.0
