year,percentile_90,extent
2001,1081.3048,364250000.0
2002,1103.0287,374250000.0
2003,1150.9288,415250000.0
2004,1161.2446,428500000.0
2005,1156.092,423250000.0
2006,1140.3179,409500000.0
2007,1359.4797,627000000.0
2008,1178.0675,441750000.0
2009,1161.7284,429750000.0
2010,1302.5747,568000000.0
2011,1352.4114,623750000.0
2012,1483.5576,975000000.0
2013,1197.3765,449000000.0
2014,1255.4287,524250000.0
2015,1322.5708,581500000.0
2016,1364.1621,635000000.0
2017,1190.0505,455500000.0
2018,1155.0663,411000000.0
2019,1394.8478,718250000.0
2020,1133.2584,398000000.0
2021,1208.151,458750000.0
2022,1123.6711,392250000.0
2023,1273.3661,489250000.0
2024,1125.9454,385000000.0
2025,1260.6821,512750000.0
