year,percentile_90,extent
2001,1441.7334,932250000.0
2002,1348.678,630250000.0
2003,1548.4471,1158500000.0
2004,1481.9445,920000000.0
2005,1372.3076,604500000.0
2006,1520.2429,1046500000.0
2007,1580.5144,1341500000.0
2008,1547.089,1190250000.0
2009,1378.7775,685500000.0
2010,1619.5,1495250000.0
2011,1587.1342,1387000000.0
2012,1704.6932,1681250000.0
2013,1437.9762,879750000.0
2014,1578.632,1220500000.0
2015,1351.1008,518250000.0
2016,1599.699,1407250000.0
2017,1487.7224,1005000000.0
2018,1558.1243,1124500000.0
2019,1593.1056,1335250000.0
2020,1564.8933,1180500000.0
2021,1574.3083,1146500000.0
2022,1537.1212,1112750000.0
2023,1696.4398,1684750000.0
2024,1452.1915,852500000.0
2025,1609.6462,1455250000.0
