year,percentile_90,extent
2001,950.1154,282750000.0
2002,842.1424,224500000.0
2003,994.51575,306250000.0
2004,881.70337,238250000.0
2005,710.65283,156250000.0
2006,808.0736,203500000.0
2007,953.1623,285000000.0
2008,996.68335,307000000.0
2009,869.546,235250000.0
2010,1051.3544,330500000.0
2011,1024.2615,320500000.0
2012,1068.6509,337500000.0
2013,939.249,277500000.0
2014,1017.69434,317250000.0
2015,717.71185,159250000.0
2016,1013.7075,314750000.0
2017,978.67316,298000000.0
2018,964.8003,290750000.0
2019,1020.62445,318500000.0
2020,988.69476,303750000.0
2021,983.40393,300500000.0
2022,981.02576,298750000.0
2023,1107.1868,351250000.0
2024,1018.3385,317750000.0
2025,1029.6737,322500000.0
