year,percentile_90,extent
2001,1577.0977,336500000.0
2002,1583.2332,329500000.0
2003,1594.3395,309500000.0
2004,1594.3616,321750000.0
2005,1586.5049,337250000.0
2006,1573.6042,336000000.0
2007,1592.1729,345500000.0
2008,1592.8038,357000000.0
2009,1592.6693,342250000.0
2010,1594.2091,355750000.0
2011,1581.5747,341500000.0
2012,1628.5548,365000000.0
2013,1593.7461,317750000.0
2014,1594.7421,341750000.0
2015,1584.2476,338750000.0
2016,1587.4105,334250000.0
2017,1587.863,339000000.0
2018,1572.4924,337750000.0
2019,1581.5747,329000000.0
2020,1589.2207,333250000.0
2021,1590.1263,342750000.0
2022,1577.0977,331500000.0
2023,1632.9962,366500000.0
2024,1568.6495,327750000.0
2025,1581.188,344750000.0
