year,percentile_90,extent
2001,784.5815,31750000.0
2002,732.3593,22250000.0
2003,796.83746,38750000.0
2004,782.1921,30000000.0
2005,790.132,37250000.0
2006,793.99304,37750000.0
2007,803.36475,41750000.0
2008,830.4883,45250000.0
2009,835.4553,46500000.0
2010,845.115,47750000.0
2011,927.0256,59750000.0
2012,928.853,61500000.0
2013,697.02045,15500000.0
2014,785.74115,36000000.0
2015,874.64136,52500000.0
2016,834.99396,46000000.0
2017,764.1177,26750000.0
2018,683.9664,17500000.0
2019,807.3619,43000000.0
2020,814.4731,43750000.0
2021,791.86926,37750000.0
2022,802.67633,41000000.0
2023,837.7053,47000000.0
2024,797.8522,39750000.0
2025,771.71967,24000000.0
