year,percentile_90,extent
2001,772.5053,4500000.0
2002,739.4354,3500000.0
2003,804.6684,6250000.0
2004,726.6334,3500000.0
2005,792.92926,5750000.0
2006,830.7574,7250000.0
2007,836.1768,7500000.0
2008,836.1768,7500000.0
2009,836.1768,7500000.0
2010,836.1768,7500000.0
2011,836.1768,7500000.0
2012,836.1768,7500000.0
2013,719.37366,2750000.0
2014,772.5053,4500000.0
2015,836.1768,7500000.0
2016,836.1768,7500000.0
2017,779.0443,5000000.0
2018,739.4354,3500000.0
2019,829.9046,7250000.0
2020,836.1768,7500000.0
2021,768.9413,4500000.0
2022,804.6684,6250000.0
2023,836.1768,7500000.0
2024,804.6793,6000000.0
2025,787.09705,3500000.0
