year,percentile_90,extent
2001,1125.8129,1096750000.0
2002,1012.3313,877250000.0
2003,1130.2595,1198250000.0
2004,1126.1,1031000000.0
2005,1018.00366,646000000.0
2006,1126.0472,950000000.0
2007,1151.2413,1179500000.0
2008,1140.5232,1199250000.0
2009,1096.3964,980000000.0
2010,1198.0377,1428000000.0
2011,1167.5458,1326000000.0
2012,1247.6082,1511750000.0
2013,1130.9656,1153750000.0
2014,1154.7119,1301000000.0
2015,988.777,636000000.0
2016,1186.8955,1339750000.0
2017,1140.8617,1236000000.0
2018,1166.1461,1295000000.0
2019,1189.9802,1384500000.0
2020,1131.9762,1226000000.0
2021,1153.1576,1303250000.0
2022,1123.9946,1146000000.0
2023,1247.3431,1593500000.0
2024,1150.342,1329750000.0
2025,1212.0432,1464750000.0
