year,percentile_90,extent
2001,863.1122,64000000.0
2002,843.8732,47750000.0
2003,867.27405,62750000.0
2004,835.5812,51000000.0
2005,852.4293,62250000.0
2006,845.4382,61000000.0
2007,867.46454,69500000.0
2008,869.4199,72000000.0
2009,875.7339,72000000.0
2010,875.4916,72500000.0
2011,876.81934,73500000.0
2012,876.8253,73250000.0
2013,839.7799,46500000.0
2014,864.2171,65000000.0
2015,876.5821,72750000.0
2016,860.3121,61750000.0
2017,849.5182,55000000.0
2018,846.4239,52000000.0
2019,863.2652,68750000.0
2020,876.7383,70750000.0
2021,858.8505,63000000.0
2022,869.66815,69250000.0
2023,876.8253,73250000.0
2024,859.87805,66750000.0
2025,841.1806,48250000.0
