year,percentile_90,extent
2001,1413.8054,501500000.0
2002,1438.8936,518750000.0
2003,1444.6061,435000000.0
2004,1432.4474,472750000.0
2005,1409.743,529250000.0
2006,1402.5006,553000000.0
2007,1450.1855,569250000.0
2008,1448.3729,591500000.0
2009,1436.2681,530500000.0
2010,1445.9059,595500000.0
2011,1399.6978,546500000.0
2012,1513.6738,666000000.0
2013,1438.4724,476500000.0
2014,1463.8928,521250000.0
2015,1443.236,515000000.0
2016,1464.0869,507500000.0
2017,1445.4572,513500000.0
2018,1419.6709,480000000.0
2019,1439.6445,476000000.0
2020,1440.2283,497000000.0
2021,1450.3801,568500000.0
2022,1450.1207,467000000.0
2023,1529.771,640250000.0
2024,1421.2765,459250000.0
2025,1449.8723,516500000.0
