year,percentile_90,extent
2001,1420.5847,1010250000.0
2002,1433.5565,1225250000.0
2003,1457.4751,1484000000.0
2004,1481.7212,1570750000.0
2005,1466.6855,1517000000.0
2006,1451.0999,956750000.0
2007,1436.8665,1258250000.0
2008,1466.0154,1470250000.0
2009,1445.6201,1248500000.0
2010,1468.5283,1482250000.0
2011,1446.3805,1555000000.0
2012,1495.03,1824500000.0
2013,1454.1012,1424750000.0
2014,1393.4161,991750000.0
2015,1480.8629,1258250000.0
2016,1437.3853,1333250000.0
2017,1420.7822,1287750000.0
2018,1342.2949,740750000.0
2019,1472.7745,1530750000.0
2020,1431.9504,1200250000.0
2021,1451.1143,1333750000.0
2022,1408.0183,911750000.0
2023,1496.4319,1544000000.0
2024,1456.4227,1067500000.0
2025,1471.8312,1318500000.0
