year,percentile_90,extent
2001,1606.8671,567500000.0
2002,1522.0958,539500000.0
2003,1606.908,317250000.0
2004,1447.6179,527000000.0
2005,1534.1261,627500000.0
2006,1511.3157,563250000.0
2007,1530.7421,602500000.0
2008,1488.2117,545750000.0
2009,1472.7516,541500000.0
2010,1563.5197,613750000.0
2011,1556.2599,620000000.0
2012,1564.8281,634000000.0
2013,1460.2826,533500000.0
2014,1560.4044,662250000.0
2015,1545.1313,478250000.0
2016,1591.0173,620250000.0
2017,1549.4763,458250000.0
2018,1494.715,546250000.0
2019,1574.0995,618000000.0
2020,1476.7395,586000000.0
2021,1506.2256,581500000.0
2022,1487.2634,536000000.0
2023,1510.6732,541750000.0
2024,1472.3301,558750000.0
2025,1501.7543,579250000.0
