year,percentile_90,extent
2001,1785.5559,760000000.0
2002,1769.6713,754750000.0
2003,1721.4934,685750000.0
2004,1751.789,749250000.0
2005,1772.8188,797250000.0
2006,1755.6656,762000000.0
2007,1804.6852,805750000.0
2008,1773.7859,756250000.0
2009,1750.0519,750250000.0
2010,1858.6884,849000000.0
2011,1797.929,783000000.0
2012,1830.5485,794250000.0
2013,1776.6583,775750000.0
2014,1812.6042,781750000.0
2015,1837.4966,776750000.0
2016,1820.7438,791250000.0
2017,1767.2699,722750000.0
2018,1758.5663,757000000.0
2019,1836.1086,814000000.0
2020,1741.2251,768500000.0
2021,1799.7762,788750000.0
2022,1721.2474,706000000.0
2023,1773.7859,758750000.0
2024,1948.7572,865250000.0
2025,1781.1846,762750000.0
