year,percentile_90,extent
2001,1365.0725,1512500000.0
2002,1312.7307,1646750000.0
2003,1405.0312,1461000000.0
2004,1405.3314,1665500000.0
2005,1331.5763,1675750000.0
2006,1375.4686,1593750000.0
2007,1390.7084,1556000000.0
2008,1389.4829,1787000000.0
2009,1369.2126,1367500000.0
2010,1387.3226,1858750000.0
2011,1357.1353,1753500000.0
2012,1412.7506,2026000000.0
2013,1370.0388,1337250000.0
2014,1414.8085,1613500000.0
2015,1375.9382,1696250000.0
2016,1418.6199,1584250000.0
2017,1407.6266,1742250000.0
2018,1378.3405,1368000000.0
2019,1464.6554,1482750000.0
2020,1419.8154,1733250000.0
2021,1430.931,1939750000.0
2022,1393.311,1868500000.0
2023,1490.2415,2417500000.0
2024,1397.7467,1720000000.0
2025,1436.9816,1900500000.0
