year,percentile_90,extent
2001,1131.6627,701000000.0
2002,977.60815,625000000.0
2003,1057.966,649750000.0
2004,978.8757,484500000.0
2005,958.2482,489500000.0
2006,937.44434,453500000.0
2007,835.1597,330000000.0
2008,1125.1191,1054500000.0
2009,993.22156,656000000.0
2010,959.03406,546250000.0
2011,958.4293,579000000.0
2012,1094.8584,990250000.0
2013,948.7265,420000000.0
2014,1026.292,741500000.0
2015,1079.5344,982750000.0
2016,1023.2095,748250000.0
2017,955.31104,531750000.0
2018,1038.99,717750000.0
2019,1105.2634,1097000000.0
2020,1007.47675,668750000.0
2021,1076.042,875500000.0
2022,1117.5803,1013750000.0
2023,1131.9425,1138250000.0
2024,997.1881,544250000.0
2025,896.44934,426500000.0
