year,percentile_90,extent
2001,791.63086,686500000.0
2002,810.28595,703250000.0
2003,820.17456,761750000.0
2004,796.51,666500000.0
2005,840.26746,748000000.0
2006,828.20013,765500000.0
2007,901.4701,889000000.0
2008,892.3997,887000000.0
2009,900.86475,893750000.0
2010,944.6002,956750000.0
2011,997.7839,1062250000.0
2012,1060.218,1199750000.0
2013,757.50305,501500000.0
2014,917.3072,888500000.0
2015,1036.7555,1147500000.0
2016,847.33716,780000000.0
2017,771.52356,625250000.0
2018,784.1201,586000000.0
2019,965.293,992000000.0
2020,806.90405,713250000.0
2021,832.2991,746250000.0
2022,827.09814,707000000.0
2023,931.64374,873750000.0
2024,821.54156,604250000.0
2025,690.55597,374500000.0
