year,percentile_90,extent
2001,1070.7444,834000000.0
2002,1059.2483,810750000.0
2003,1167.2546,938500000.0
2004,1188.789,974750000.0
2005,1177.4493,939250000.0
2006,1170.2601,936750000.0
2007,1287.5046,1217000000.0
2008,1214.3717,1009250000.0
2009,1170.1277,942250000.0
2010,1289.1954,1225500000.0
2011,1305.1495,1275000000.0
2012,1426.1233,1567250000.0
2013,1251.3234,1086000000.0
2014,1280.6306,1191750000.0
2015,1290.7811,1180500000.0
2016,1328.747,1346500000.0
2017,1184.6178,968250000.0
2018,1150.9679,907500000.0
2019,1330.5635,1381500000.0
2020,1067.8495,811250000.0
2021,1229.6531,1004500000.0
2022,1146.9857,891750000.0
2023,1284.2782,1065750000.0
2024,1157.4662,908500000.0
2025,1267.183,1080250000.0
