year,percentile_90,extent
2001,1055.1329,116250000.0
2002,724.8396,60750000.0
2003,783.9705,79250000.0
2004,537.90717,36250000.0
2005,833.5614,82000000.0
2006,859.101,106250000.0
2007,839.64343,109000000.0
2008,874.9976,120750000.0
2009,907.8782,134000000.0
2010,928.0446,142250000.0
2011,948.74304,149500000.0
2012,1041.2993,180750000.0
2013,1126.8716,73250000.0
2014,884.0784,103250000.0
2015,929.10864,140000000.0
2016,1020.43396,133500000.0
2017,858.3423,104500000.0
2018,871.9495,60500000.0
2019,994.66437,155000000.0
2020,990.35077,152250000.0
2021,871.5951,99000000.0
2022,879.30334,120750000.0
2023,910.7467,134500000.0
2024,915.36816,123250000.0
2025,845.46985,87250000.0
