year,percentile_90,extent
2001,978.63446,631000000.0
2002,1030.1927,1038250000.0
2003,982.7543,908500000.0
2004,978.956,838500000.0
2005,990.82605,893750000.0
2006,902.141,442250000.0
2007,978.39276,640000000.0
2008,993.72577,1034250000.0
2009,953.84534,706000000.0
2010,948.18677,720500000.0
2011,941.50275,602000000.0
2012,1051.3835,1157500000.0
2013,919.61255,440500000.0
2014,976.23975,746250000.0
2015,992.8683,874750000.0
2016,1023.55457,1154000000.0
2017,983.93066,846250000.0
2018,782.4824,274250000.0
2019,1035.5363,1227000000.0
2020,957.3185,706250000.0
2021,1024.0282,855500000.0
2022,868.68134,458250000.0
2023,1083.1077,1429500000.0
2024,871.27,454250000.0
2025,959.78815,581750000.0
