year,percentile_90,extent
2001,1915.1382,131000000.0
2002,1892.7335,124500000.0
2003,1884.4688,110500000.0
2004,1885.1012,118750000.0
2005,1940.5111,138500000.0
2006,1884.7797,119750000.0
2007,1920.2227,140500000.0
2008,1884.3184,113250000.0
2009,1863.8508,113500000.0
2010,1941.4193,138000000.0
2011,1944.4207,141500000.0
2012,1972.2,164000000.0
2013,1882.521,116750000.0
2014,1894.0276,140250000.0
2015,1926.6415,114500000.0
2016,1964.2751,148750000.0
2017,1905.8429,106750000.0
2018,1880.2017,111500000.0
2019,1949.7019,156500000.0
2020,1852.3618,115000000.0
2021,1915.1382,133500000.0
2022,1880.9707,113500000.0
2023,1903.7638,132750000.0
2024,1956.1523,131500000.0
2025,1964.9784,137500000.0
