year,percentile_90,extent
2001,863.2263,72750000.0
2002,779.7183,30250000.0
2003,842.7871,66250000.0
2004,815.23376,34750000.0
2005,865.49243,74000000.0
2006,858.9419,72000000.0
2007,876.2954,81500000.0
2008,911.95953,88000000.0
2009,910.65015,87500000.0
2010,924.329,92500000.0
2011,949.8118,99500000.0
2012,963.36426,102500000.0
2013,777.0727,25000000.0
2014,911.643,83500000.0
2015,934.876,96000000.0
2016,900.9436,80250000.0
2017,835.5576,59250000.0
2018,771.8668,27000000.0
2019,911.767,87250000.0
2020,919.15845,88750000.0
2021,911.71204,67750000.0
2022,888.90027,83500000.0
2023,941.90436,97500000.0
2024,863.02496,65750000.0
2025,848.5629,37000000.0
